BOROUGH,ADDRESS,ZIP,# of Tanks,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
MANHATTAN,31 West 17 Street,10011,1,12/31/20,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.738418,-73.993393,5,3,54
MANHATTAN,541 Lexington Avenue,10022,1,4/20/21,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.756162,-73.972593,6,4,100
BROOKLYN,210 Joralemon Street,11201,1,11/28/20,Violation,Violation,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,40.692459,-73.990491,2,33,9
MANHATTAN,100 Centre Street,10013,1,5/6/22,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
BROOKLYN,360 Adams street,11201,2,11/1/23,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.694122,-73.988904,2,33,11
MANHATTAN,100 Centre Street,10013,4,5/26/22,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,955 Fifth Avenue,10075,1,10/1/20,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.775466,-73.96483,8,4,130
MANHATTAN,80 centre street,10013,1,12/19/20,Violation,Violation,Violation,Violation,Violation,Violation,Meets standards,Meets standards,40.715447,-74.00189,1,1,29
BROOKLYN,138 Willoughby Street,11201,2,6/20/22,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
MANHATTAN,1 centre street,10007,3,4/26/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
BRONX,265 east 161 street,10451,1,12/3/21,Violation,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.825928,-73.919514,4,16,18302
MANHATTAN,160 Madison Street,10002,2,10/22/20,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,40.712488,-73.991924,3,1,6
MANHATTAN,60 centre street,10007,2,12/19/21,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.714467,-74.002503,1,1,29
BROOKLYN,360 Adams street,11201,1,6/1/22,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.694122,-73.988904,2,33,11
BROOKLYN,45 Monroe place,11201,1,6/23/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.695822,-73.992802,2,33,502
BROOKLYN,360 Adams street,11201,2,6/1/22,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.694122,-73.988904,2,33,11
BROOKLYN,138 Willoughby Street,11201,3,6/20/22,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
MANHATTAN,100 centre street,10013,1,12/5/20,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,136 East 57 Street,10022,1,3/13/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.760822,-73.968898,6,4,11203
MANHATTAN,201 East 62nd Street,10065,1,7/7/20,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.763296,-73.964869,8,4,110
MANHATTAN,125 worth street,10013,2,12/19/20,Violation,Meets standards,Violation,Violation,Violation,Violation,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
MANHATTAN,125 worth street,10013,1,5/23/22,Violation,Meets standards,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
BROOKLYN,1655 Flatbush Avenue,11210,1,10/7/20,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.630096,-73.944757,18,45,776
BROOKLYN,360 Adams street,11201,1,10/26/24,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.694122,-73.988904,2,33,11
MANHATTAN,1020 Fifth Avenue,10028,1,5/5/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.779558,-73.961531,8,4,142
MANHATTAN,100 Centre Street,10013,1,5/6/22,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,125 worth street,10013,1,5/23/22,Violation,Meets standards,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
MANHATTAN,53 East 66th Street,10065,1,4/30/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.767746,-73.967668,8,4,122
MANHATTAN,125 worth street,10013,1,12/10/21,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
BRONX,265 east 161 street,10451,1,11/9/24,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.825928,-73.919514,4,16,18302
MANHATTAN,720 Park Avenue,10021,1,6/23/21,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,40.76995,-73.964681,8,4,130
MANHATTAN,812 Fifth Avenue,10065,1,5/14/20,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.766378,-73.971459,8,4,11401
MANHATTAN,125 worth street,10013,2,5/23/22,Violation,Meets standards,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
MANHATTAN,100 centre street,10013,2,12/5/20,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,4 Irving Place,10003,2,3/28/23,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.734163,-73.988627,6,2,50
BROOKLYN,138 Willoughby Street,11201,3,6/14/21,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
BRONX,1470 West Avenue,10462,1,11/3/20,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.83692,-73.861433,9,18,21602
MANHATTAN,60 centre street,10007,1,12/19/21,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,,,40.714467,-74.002503,1,1,29
BROOKLYN,45 monroe place,11201,1,11/28/21,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.695822,-73.992802,2,33,502
MANHATTAN,125 worth street,10013,1,5/23/22,Violation,Meets standards,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
BROOKLYN,345 Adams Street,11201,1,11/28/20,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
BROOKLYN,345 Adams Street,11201,2,11/28/20,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
MANHATTAN,70 Lenox Ave,10026,1,5/4/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.800288,-73.95094,10,9,186
BROOKLYN,45 Monroe Place,11201,1,12/12/20,Violation,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.695822,-73.992802,2,33,502
STATEN ISLAND,35 hale street,10307,1,2/4/22,Meets standards,Meets standards,Meets standards,,Meets standards,,Violation,Violation,40.514811,-74.236572,3,51,248
MANHATTAN,60 centre street,10007,1,12/19/20,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.714467,-74.002503,1,1,29
MANHATTAN,125 worth street,10013,2,12/10/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
MANHATTAN,100 Centre street,10013,1,11/28/23,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
BROOKLYN,210 Joralemon street,11201,3,8/11/22,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.692459,-73.990491,2,33,9
MANHATTAN,866 Third Ave,10022,1,7/8/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.757435,-73.9696,6,4,100
MANHATTAN,60 centre street,10007,1,12/19/21,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.714467,-74.002503,1,1,29
BRONX,640 East 137 Street,10454,2,11/4/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.805087,-73.91553,1,8,2701
QUEENS,34-27 34th St,11106,1,1/1/21,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Violation,40.758027,-73.925263,1,26,57
