,BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
6834,MANHATTAN,524 Broadway,10012.0,1,2024-02-10 00:00:00,N,N,N,N,N,N,N,N,,40.722748,-73.999033,2.0,1.0,45.0
6836,MANHATTAN,529 Fifth Avenue,10017.0,1,2020-06-15 00:00:00,N,N,N,N,N,N,N,N,,40.754467,-73.979455,5.0,4.0,94.0
6837,MANHATTAN,315 WEST 86 STREET,10024.0,1,2023-08-22 00:00:00,N,N,N,N,N,N,N,N,,40.789163,-73.978498,7.0,6.0,175.0
6839,BROOKLYN,601 SURF AVENUE,11224.0,1,2022-06-13 00:00:00,N,N,N,N,N,N,N,N,,40.5752,-73.975788,13.0,48.0,354.0
6842,MANHATTAN,133 West 19th Street,10011.0,1,2021-08-24 00:00:00,N,N,N,N,N,N,N,N,,40.740904,-73.995666,4.0,3.0,87.0
6844,QUEENS,61-55 Junction Boulevard,11374.0,1,2021-06-01 00:00:00,N,N,N,N,N,N,N,N,,40.733414,-73.86416,6.0,29.0,71702.0
6845,MANHATTAN,555 8 AVE,10018.0,1,2021-06-05 00:00:00,N,N,N,N,N,N,N,N,,40.754477,-73.991814,4.0,3.0,111.0
6847,MANHATTAN,424 EAST 52 STREET,10022.0,1,2020-11-06 00:00:00,N,N,N,N,N,N,N,N,,40.75482,-73.964541,6.0,4.0,8603.0
6850,MANHATTAN,480 BROADWAY,10013.0,1,2020-06-11 00:00:00,N,N,N,N,N,N,N,N,,40.721491,-74.000094,2.0,1.0,45.0
6857,MANHATTAN,125 East 63rd Street,10065.0,1,2021-04-01 00:00:00,N,N,N,N,N,N,N,N,,40.764974,-73.966911,8.0,4.0,120.0
