BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
MANHATTAN,230 West 105th Street,10025,1,7/31/20,N,N,N,N,N,N,N,N,,40.800247,-73.967377,7,7,191
MANHATTAN,124 West 79th Street,10024,1,10/16/23,N,N,N,N,N,N,N,N,,40.782329,-73.976403,7,6,165
MANHATTAN,50 WEST   17 STREET,10011,1,6/6/20,N,N,N,N,N,N,N,N,Y,40.738585,-73.99384,5,3,54
MANHATTAN,25 East 86th Street,10028,1,9/28/23,N,N,N,N,N,N,N,N,,40.781102,-73.959378,8,4,15002
MANHATTAN,695 Park Avenue,10065,3,6/16/22,N,N,N,N,N,N,N,N,,40.768973,-73.965367,8,4,120
MANHATTAN,505 5th Avenue,10017,2,11/12/22,N,N,N,N,N,N,N,N,,40.753663,-73.980744,5,4,94
MANHATTAN,321 East 44th Street,10017,1,12/8/23,N,N,N,N,N,N,N,N,,40.750878,-73.970675,6,4,90
BROOKLYN,101 Johnson Street,11201,2,8/11/21,N,N,N,N,N,N,N,N,,40.69494,-73.986387,2,33,13
BROOKLYN,215 Cozine Avenue,11207,2,9/14/20,N,N,N,N,N,N,N,N,Y,40.655517,-73.884151,5,42,1106
MANHATTAN,325 North End Avenue,10282,2,9/1/21,N,N,N,N,N,N,N,N,,40.716637,-74.014754,1,1,31703
MANHATTAN,250 Broadway,10007,2,2/20/21,N,N,N,N,N,N,N,N,,40.712982,-74.007301,1,1,21
BRONX,3220 Fairfield Avenue,10463,1,12/30/20,N,N,N,N,N,N,N,N,,40.884844,-73.913472,8,11,297
MANHATTAN,540 Main Street,10044,1,11/13/24,N,N,N,N,N,N,N,N,,40.761608,-73.94986,8,5,23801
MANHATTAN,99 Madison Avenue,10016,1,12/10/22,N,N,N,N,N,N,N,N,,40.74476,-73.985135,5,2,74
MANHATTAN,160 Madison Street,10002,1,6/5/23,N,N,N,N,N,N,N,N,,40.712488,-73.991924,3,1,6
MANHATTAN,1407 Broadway,10018,1,3/17/21,N,N,N,N,N,N,N,N,,40.753439,-73.987151,5,3,113
MANHATTAN,845 Second Avenue,10017,1,12/5/22,N,N,N,N,N,N,N,N,,40.751902,-73.970704,6,4,90
MANHATTAN,2 BEEKMAN PLACE,10022,1,10/19/21,N,N,N,N,N,N,N,N,,40.75288,-73.965152,6,4,8603
MANHATTAN,620 EIGHTH AVENUE,10018,1,4/13/21,N,N,N,N,N,N,N,N,,40.756039,-73.990651,5,3,113
BROOKLYN,135 Eastern Parkway,11238,1,6/26/24,N,N,N,N,N,N,N,N,,40.672162,-73.964289,8,35,215
MANHATTAN,331 East 70th Street,10021,1,8/13/21,N,N,A,N,N,N,N,N,,40.766925,-73.95795,8,5,126
BRONX,1889 Sedgwick Avenue,10453,1,9/11/20,N,N,N,N,N,N,N,N,,40.854224,-73.917347,5,16,247
MANHATTAN,45708 TUDOR CITY PLACE,10017,2,2/15/23,N,N,N,N,N,N,N,N,,40.747985,-73.971265,6,4,88
MANHATTAN,286 Madison Avenue,10017,2,12/17/23,N,N,N,N,N,N,N,N,,40.751728,-73.980084,5,4,82
QUEENS,61-25 98th Street,11374,1,4/12/23,N,N,N,N,N,N,N,N,,40.734257,-73.860517,6,29,71702
MANHATTAN,266 East 78 Street,10075,1,8/11/22,N,N,N,N,N,N,N,N,,40.773007,-73.956404,8,4,134
MANHATTAN,333 EAST   30 STREET,10016,1,10/28/20,N,N,N,N,N,N,N,N,Y,40.741734,-73.976403,6,2,70
MANHATTAN,400 West 113th Street,10025,1,12/2/21,N,N,N,N,N,N,N,N,,40.804117,-73.960646,9,7,19701
MANHATTAN,40 East 78th Street,10075,1,5/17/24,N,N,N,N,N,N,N,N,,40.775496,-73.962306,8,4,142
MANHATTAN,23 WAVERLY PLACE,10003,1,11/24/20,N,N,N,N,N,N,N,N,,40.730645,-73.99444,2,1,59
MANHATTAN,25 Park Row,10038,2,3/8/23,N,N,N,N,N,N,N,N,,40.711601,-74.00742,1,1,1501
MANHATTAN,206 EAST   95 STREET,10128,1,6/15/20,N,N,N,N,N,N,N,N,Y,40.784167,-73.949016,8,5,15601
MANHATTAN,222 EAST 80 STREET,10075,1,10/26/21,N,N,N,N,N,N,N,N,,40.77467,-73.956114,8,5,138
MANHATTAN,22 East 38 Street,10016,1,1/14/20,N,N,N,N,N,N,N,N,,40.750177,-73.980897,6,4,82
MANHATTAN,440 West 34th Street,10001,1,7/17/23,N,N,N,N,N,N,N,N,,40.754022,-73.997842,4,3,103
MANHATTAN,601 West 115th Street,10025,1,11/20/24,N,N,N,N,N,N,N,N,,40.807423,-73.964571,9,7,205
MANHATTAN,50 West 34 Street,10001,1,10/15/24,N,N,N,N,N,N,N,N,,40.74936,-73.986773,5,4,76
MANHATTAN,1 Union Square South,10003,1,2/6/24,N,N,N,N,N,N,N,N,,40.733979,-73.989897,2,2,61
MANHATTAN,347 WEST   36 STREET,10018,1,3/14/20,N,N,N,N,N,N,N,N,Y,40.754063,-73.993875,4,3,111
MANHATTAN,1177 Avenue Of the Americas,10036,1,6/16/20,N,N,N,N,N,N,N,N,,40.757256,-73.982364,5,4,119
MANHATTAN,310 WEST 72 STREET,10023,1,11/29/22,N,N,N,N,N,N,N,N,,40.780002,-73.984965,7,6,159
MANHATTAN,2441 A C Powell Blvd,10030,1,7/24/23,N,N,N,N,N,N,N,N,,40.819809,-73.940401,10,9,232
MANHATTAN,425 East 25th Street,10010,1,6/8/21,N,N,N,N,N,N,N,N,,40.737878,-73.97688,6,4,62
MANHATTAN,150 WEST 22ND STREET,10011,1,6/4/22,N,N,N,N,N,N,N,N,,40.742834,-73.994735,4,3,87
MANHATTAN,235 West 76th Street,10023,1,11/29/22,N,N,N,N,N,N,N,N,,40.781948,-73.981512,7,6,163
MANHATTAN,165 East 112 Street,10029,1,7/25/23,N,N,N,N,N,N,N,N,,40.795788,-73.942766,11,8,182
MANHATTAN,29 West 38th Street,10018,1,6/12/21,N,N,N,N,N,N,N,N,,40.751443,-73.983845,5,4,84
MANHATTAN,45 Fairview Avenue,10040,1,6/17/21,N,N,N,N,N,N,N,N,,40.857413,-73.929432,12,10,283
MANHATTAN,300 WEST 55 STREET,10019,1,10/4/23,N,N,N,N,N,N,N,N,,40.765142,-73.984253,4,3,139
MANHATTAN,15 East 91 STREET,10128,1,9/11/24,N,N,N,N,N,N,N,N,,40.784401,-73.957329,8,4,16001
MANHATTAN,244 Fifth Avenue,10001,1,6/5/23,N,N,N,N,N,N,N,N,,40.744521,-73.987427,5,2,58
MANHATTAN,227 East 57th Street,10022,1,11/30/23,N,N,N,N,N,N,N,N,,40.759913,-73.966704,6,4,108
MANHATTAN,220 West 71st Street,10023,1,1/28/21,N,N,N,N,N,N,N,N,,40.778303,-73.982986,7,6,159
MANHATTAN,36 East 72 Street,10021,1,7/8/20,N,N,N,N,N,N,N,N,,40.771618,-73.965066,8,4,130
MANHATTAN,245 East 24th Street,10010,1,4/18/23,N,N,N,N,N,N,N,N,,40.738682,-73.980709,6,2,66
BRONX,1575 East 174 Street,10472,1,4/23/24,N,N,N,N,N,N,N,N,,40.833853,-73.877582,9,18,62
MANHATTAN,212 East 47th Street,10017,1,10/18/22,N,N,N,N,N,N,N,N,,40.753714,-73.971612,6,4,90
MANHATTAN,12 W 31st St,10001,1,6/5/20,N,N,N,N,N,N,N,N,Y,40.746838,-73.986683,5,4,76
QUEENS,28-07 Jackson Avenue,11101,1,6/29/21,N,N,N,N,N,N,N,N,,40.748434,-73.938768,2,26,19
MANHATTAN,27 West 86th Street,10024,1,4/12/22,N,N,N,N,N,N,N,N,,40.785879,-73.970703,7,6,173
MANHATTAN,30 East 23rd Street,10010,1,7/18/22,N,N,N,N,N,N,N,N,,40.740706,-73.987615,5,2,56
MANHATTAN,245 WEST 51 STREET,10019,1,10/19/22,N,N,N,N,N,N,N,N,,40.762439,-73.984492,5,3,131
BROOKLYN,2940 Ocean Parkway,11235,1,4/27/22,N,N,N,N,N,N,N,N,,40.579373,-73.967838,13,48,35602
BRONX,500 Exterior Street,10451,1,12/21/21,N,N,N,N,N,N,N,N,,40.818595,-73.930409,1,8,63
MANHATTAN,470 Park Avenue South,10016,1,12/16/22,N,N,N,N,N,N,N,N,,40.745492,-73.982515,5,2,74
MANHATTAN,792 Columbus Ave,10025,1,10/13/21,N,N,N,N,N,N,N,N,,40.79541,-73.966744,7,7,185
MANHATTAN,22 West 48 Street,10036,1,11/12/22,N,N,N,N,N,N,N,N,,40.757692,-73.979101,5,4,96
MANHATTAN,990 Fifth Avenue,10075,1,4/20/22,N,N,A,N,N,N,N,N,,40.777618,-73.962846,8,4,142
MANHATTAN,422 EAST   72 STREET,10021,1,10/21/20,N,N,N,N,N,N,N,N,Y,40.767503,-73.955314,8,5,124
QUEENS,120-01 Roosevelt Avenue,11368,1,4/18/23,N,N,N,N,N,N,N,N,,40.754703,-73.845398,81,21,38302
MANHATTAN,10 East End Avenue,10075,1,9/23/21,N,N,N,N,N,N,N,N,,40.770819,-73.947781,8,5,136
QUEENS,39-65 52nd Street,11377,1,8/18/21,N,N,N,N,N,N,N,N,,40.746808,-73.912226,2,26,251
MANHATTAN,515 West 38th Street,10018,1,4/19/23,N,N,N,N,N,N,N,N,,40.757461,-73.998105,4,3,117
MANHATTAN,33 East 33rd Street,10016,1,2/21/24,N,N,N,N,N,N,N,N,,40.746972,-73.983124,5,2,74
MANHATTAN,25 WEST 54 STREET,10019,1,8/4/23,N,N,N,N,N,N,N,N,,40.761485,-73.976406,5,4,104
MANHATTAN,470 7TH AVENUE,10018,1,7/9/20,N,N,N,N,N,N,N,N,,40.751949,-73.989941,5,3,109
QUEENS,175-05 Wexford Terrace,11432,1,3/6/24,N,N,N,N,N,N,N,N,,40.712447,-73.78833,8,24,466
MANHATTAN,121 West 72nd Street,10023,1,10/22/24,N,N,N,N,N,N,N,N,,40.777762,-73.979607,7,6,157
MANHATTAN,260 Audubon Avenue,10033,1,8/4/21,N,N,N,N,N,N,N,N,,40.847052,-73.933578,12,10,261
MANHATTAN,23 East 10th Street,10003,1,8/4/23,N,N,N,N,N,N,N,N,,40.732687,-73.993689,2,2,61
MANHATTAN,1385 Broadway,10018,1,9/30/23,N,N,N,N,N,N,N,N,,40.752613,-73.987389,5,3,109
MANHATTAN,450 Park Avenue,10022,1,2/27/21,N,N,N,N,N,N,N,N,,40.761396,-73.97092,5,4,11202
MANHATTAN,250 west 55th Street,10019,2,1/28/21,N,N,N,N,N,N,N,N,,40.765016,-73.982896,5,3,137
MANHATTAN,1 West 85th Street,10024,3,11/16/22,N,N,N,N,N,N,N,N,,40.784797,-73.970256,7,6,169
MANHATTAN,325 East 38 Street,10016,1,11/15/23,N,N,N,N,N,N,N,N,,40.746797,-73.972828,6,4,78
MANHATTAN,1405 Park Avenue,10029,1,8/31/20,N,N,N,N,N,N,N,N,Y,40.791797,-73.948703,11,8,166
MANHATTAN,25 Broad Street,10004,1,6/2/20,N,N,A,N,N,N,N,N,,40.706114,-74.01126,1,1,9
MANHATTAN,324 Lafayette Street,10012,1,8/7/21,N,N,N,N,N,N,N,N,,40.725545,-73.994974,2,1,5502
MANHATTAN,695 Park Ave,10065,3,6/4/20,N,N,N,N,N,N,N,N,Y,40.768973,-73.965367,8,4,120
MANHATTAN,1 UNITED NATIONS PLAZA,10017,2,11/6/20,N,N,N,N,N,N,N,N,Y,40.750441,-73.968676,6,4,90
MANHATTAN,1180 5th avenue,10029,3,10/22/24,N,N,N,N,N,N,N,N,,40.789971,-73.954245,11,8,168
MANHATTAN,50 West 34 Street,10001,4,10/25/22,N,N,N,N,N,N,N,N,,40.74936,-73.986773,5,4,76
MANHATTAN,451 BROOME STREET,10013,1,6/1/22,N,N,N,N,N,N,N,N,,40.722117,-74.000541,2,1,47
MANHATTAN,145 West 58th Street,10019,1,8/20/24,N,N,N,N,N,N,N,N,,40.765561,-73.978019,5,4,137
MANHATTAN,150 East 42nd Street,10017,4,9/17/22,N,N,N,N,N,N,N,N,,40.751195,-73.975483,6,4,80
BROOKLYN,461 DEAN STREET,11217,1,9/29/20,N,N,N,N,N,N,N,N,Y,40.681736,-73.975306,6,35,12902
MANHATTAN,325 West 77 Street,10024,1,10/16/23,N,N,N,N,N,N,N,N,,40.78345,-73.983111,7,6,163
MANHATTAN,255 EAST 74 STREET,10021,1,10/17/24,N,N,N,N,N,N,N,N,,40.770568,-73.958439,8,4,134
MANHATTAN,45 East 66th Street,10065,1,6/5/23,N,N,N,N,N,N,N,N,,40.767801,-73.967794,8,4,122
MANHATTAN,230 5 AVENUE,10001,1,5/14/20,N,N,N,N,N,N,N,N,Y,40.743918,-73.987867,5,2,58
MANHATTAN,118 West 22nd Street,10011,1,8/27/22,N,N,N,N,N,N,N,N,,40.742562,-73.994089,4,3,87
MANHATTAN,20 SUTTON PLACE SOUTH,10022,1,12/15/22,N,N,N,N,N,N,N,N,,40.75656,-73.961266,6,5,10601
MANHATTAN,711 Amsterdam Avenue,10025,1,6/21/21,N,N,N,N,N,N,N,N,,40.793032,-73.971097,7,6,181
MANHATTAN,506 Lenox Avenue,10037,2,7/20/24,N,N,N,N,N,N,N,N,,40.814358,-73.940659,10,9,212
MANHATTAN,1040 Park Avenue,10028,1,8/21/23,N,N,N,N,N,N,N,N,,40.780284,-73.957133,8,4,15002
BRONX,4705 Henry Hudson Parkway,10471,1,9/21/22,N,N,N,N,N,N,N,N,,40.895547,-73.908376,8,11,30701
MANHATTAN,245 Park Avenue,10167,2,10/4/22,N,N,N,N,N,N,N,N,,40.754826,-73.975683,5,4,92
MANHATTAN,124 WEST   72 STREET,10023,1,9/10/20,N,N,N,N,N,N,N,N,Y,40.777891,-73.979954,7,6,157
MANHATTAN,865 First Avenue,10017,1,11/18/21,N,N,N,N,N,N,N,N,,40.752823,-73.966935,6,4,90
MANHATTAN,201 WEST   74 STREET,10023,1,6/10/20,N,N,N,N,N,N,N,N,Y,40.77998,-73.98078,7,6,163
MANHATTAN,222 West 37th  Street,10018,1,8/23/22,N,N,N,N,N,N,N,N,,40.753255,-73.990121,5,3,109
MANHATTAN,241 Central Park West,10024,1,4/16/24,N,N,N,N,N,N,N,N,,40.784075,-73.970238,7,6,169
MANHATTAN,40 EAST 66 STREET,10065,1,12/2/21,N,N,N,N,N,N,N,N,,40.767801,-73.967841,8,4,122
MANHATTAN,49 West 23rd Street,10010,1,2/12/22,N,N,N,N,N,N,N,N,,40.742227,-73.991162,5,3,58
MANHATTAN,343 East 74th Street,10021,1,7/19/24,N,N,N,N,N,N,N,N,,40.769678,-73.956334,8,5,134
MANHATTAN,125 worth street,10013,1,11/20/24,N,N,N,N,N,N,N,N,,40.715428,-74.002673,1,1,31
MANHATTAN,319 E 24th St,10010,1,6/1/21,,N,,,,N,N,N,,40.738103,-73.97933,6,2,66
MANHATTAN,654 Broadway,10012,1,10/26/22,N,N,N,N,N,N,N,N,,40.726827,-73.99558,2,1,5502
BROOKLYN,90 Sands Street,11201,1,10/25/23,N,N,N,N,N,N,N,N,,40.70007,-73.987219,2,33,13
MANHATTAN,1425 York Avenue,10021,1,3/30/20,N,N,N,N,N,N,N,N,,40.769229,-73.952024,8,5,132
MANHATTAN,15 WEST 26 STREET,10010,1,3/21/20,N,N,N,N,N,N,N,N,,40.744003,-73.98948,5,3,58
BROOKLYN,86 Fleet Place,11201,1,5/26/22,N,N,N,N,N,N,N,N,,40.693059,-73.981771,2,35,31
MANHATTAN,352 7th Avenue,10001,1,5/5/20,N,N,N,N,N,N,N,N,,40.748208,-73.992663,5,3,95
BRONX,111 E. 210th Street,10467,2,1/15/22,N,N,N,N,N,N,N,N,,40.879885,-73.880481,7,11,421
MANHATTAN,9 East 45th Street,10017,1,6/5/21,N,N,N,N,N,N,N,N,,40.755167,-73.978892,5,4,94
MANHATTAN,1271 Broadway,10001,1,3/11/23,N,N,N,N,N,N,N,N,,40.748296,-73.988465,5,3,76
MANHATTAN,11 Madison Avenue,10010,1,10/27/22,N,N,N,N,N,N,N,N,,40.741617,-73.987449,5,2,56
MANHATTAN,445 E 86 ST,10028,1,4/4/23,N,N,N,N,N,N,N,N,,40.776119,-73.947549,8,5,14402
MANHATTAN,420 RIVERSIDE DRIVE,10025,1,10/26/22,N,N,N,N,N,N,N,N,,40.807413,-73.966265,9,7,205
MANHATTAN,150 EAST   49 STREET,10017,1,6/24/20,N,N,N,N,N,N,N,N,Y,40.755643,-73.972305,6,4,92
MANHATTAN,66 WEST 12TH STREET,10011,1,2/12/23,N,N,N,N,N,N,N,N,,40.735744,-73.997139,2,3,63
MANHATTAN,144 West 86th Street,10024,1,4/11/24,N,N,N,N,N,N,N,N,,40.787194,-73.973873,7,6,169
MANHATTAN,444 East 75th Street,10021,1,11/3/22,N,N,N,N,N,N,N,N,,40.76879,-73.952555,8,5,132
MANHATTAN,1 University Place,10003,1,3/7/23,N,N,N,N,N,N,N,N,,40.730785,-73.995486,2,1,59
BROOKLYN,3215 Avenue H,11210,1,7/30/24,N,N,N,N,N,N,N,N,,40.631801,-73.945371,17,45,786
MANHATTAN,425 PARK AVENUE,10022,1,12/3/22,N,N,N,N,N,N,N,N,,40.760512,-73.971541,5,4,100
MANHATTAN,325 North End Avenue,10282,2,8/30/22,N,N,N,N,N,N,N,N,,40.716637,-74.014754,1,1,31703
MANHATTAN,26 Federal Plaza,10278,1,3/23/24,N,N,N,N,N,N,N,N,,40.716015,-74.004744,1,1,31
MANHATTAN,1 West 85th Street,10024,2,11/16/22,N,N,N,N,N,N,N,N,,40.784797,-73.970256,7,6,169
MANHATTAN,660 PARK AVENUE,10065,1,7/21/23,N,N,N,N,N,N,N,N,,40.768097,-73.966328,8,4,122
BRONX,2475 Southern Boulevard,10458,1,6/10/21,N,N,N,N,N,N,N,N,,40.855263,-73.881139,6,15,393
MANHATTAN,521-533 West 57 Street,10019,2,6/20/20,N,N,N,N,N,N,N,N,,40.769502,-73.989451,4,6,135
MANHATTAN,417 Fifth Avenue,10016,1,5/27/20,N,N,N,N,N,N,N,N,,40.750691,-73.982907,5,4,82
MANHATTAN,455 EAST 86 STREET,10028,1,9/2/20,N,N,N,N,N,N,N,N,,40.776091,-73.947484,8,5,14402
BRONX,1575 Odell Street,10462,1,6/5/24,N,N,N,N,N,N,N,N,,40.838429,-73.854621,9,18,21002
MANHATTAN,205 WEST   19 STREET,10011,1,9/1/20,N,N,N,N,N,N,N,N,Y,40.741862,-73.997929,4,3,87
MANHATTAN,150 W 30 ST,10001,1,3/28/22,N,N,N,N,N,N,N,N,,40.747876,-73.991064,5,3,95
MANHATTAN,504-510 WEST 110 STREET,10025,1,6/16/22,N,N,N,N,N,N,N,N,,40.803276,-73.964606,7,7,195
MANHATTAN,1050 5 AVENUE,10028,1,7/30/20,N,N,N,N,N,N,N,N,Y,40.781624,-73.960331,8,4,15002
BROOKLYN,80 Cranberry Street,11201,1,3/15/21,N,N,N,N,N,N,N,N,,40.699552,-73.992679,2,33,1
MANHATTAN,335 Madison Avenue,10017,4,11/4/23,N,N,N,N,N,N,N,N,,40.753715,-73.9786,5,4,94
MANHATTAN,230 West 41 Street,10036,2,1/13/24,N,N,N,N,N,N,N,N,,40.755802,-73.988482,5,3,113
MANHATTAN,40 West 57th Street,10019,1,10/23/22,N,N,N,N,N,N,N,N,,40.763538,-73.975352,5,4,11201
BROOKLYN,4 Metrotech Center,11201,3,5/30/20,N,N,N,N,N,N,N,N,,40.693666,-73.983686,2,33,15
MANHATTAN,215 East 64th Street,10065,1,12/12/24,N,N,N,N,N,N,N,N,,40.764452,-73.963735,8,4,118
MANHATTAN,438 West 37 Street,10018,1,12/30/21,N,N,N,N,N,N,N,N,,40.755979,-73.996571,4,3,111
MANHATTAN,535 Madison Avenue,10022,2,5/25/22,N,N,N,N,N,N,N,N,,40.760354,-73.973454,5,4,102
MANHATTAN,161 West 54th Street,10019,1,11/9/21,N,N,N,N,N,N,N,N,,40.763306,-73.980727,5,4,137
MANHATTAN,210 EAST 86 STREET,10028,1,7/11/21,N,N,N,N,N,N,N,N,,40.778605,-73.953494,8,5,14601
MANHATTAN,1760 SECOND AVENUE,10128,1,2/12/20,N,N,N,N,N,N,N,N,,40.78148,-73.949101,8,5,154
MANHATTAN,201 East 35th Street,10016,1,12/30/24,N,N,N,N,N,N,N,N,,40.746345,-73.977502,6,4,78
MANHATTAN,9 East 38th Street,10016,1,6/15/24,N,N,N,N,N,N,N,N,,40.750628,-73.981918,5,4,82
MANHATTAN,832 Amsterdam Ave,10025,1,8/7/23,N,N,N,N,N,N,N,N,,40.797016,-73.968221,7,7,187
MANHATTAN,1 River Place,10036,2,9/30/21,N,N,N,N,N,N,N,N,,40.761614,-74.00022,4,3,117
MANHATTAN,12 WEST 96TH STREET,10025,1,12/8/22,N,N,N,N,N,N,N,N,,40.79188,-73.965222,7,6,181
MANHATTAN,45 Tudor City Place,10017,2,10/9/24,N,N,N,N,N,N,N,N,,40.749171,-73.970333,6,4,88
MANHATTAN,8 East 12th Street,10003,1,10/16/20,N,N,N,N,N,N,N,N,,40.734449,-73.994072,2,2,61
MANHATTAN,219 West 81st Street,10024,1,6/25/24,N,N,N,N,N,N,N,N,,40.784807,-73.978157,7,6,167
BROOKLYN,86 FLEET PLACE,11201,1,12/7/20,N,N,N,N,N,N,N,N,Y,40.693059,-73.981771,2,35,31
MANHATTAN,130 W. 42nd Street,10036,3,3/2/23,N,N,N,N,N,N,N,N,,40.755278,-73.985172,5,4,113
MANHATTAN,32 Broadway,10004,1,4/8/23,N,N,N,N,N,N,N,N,,40.706045,-74.013096,1,1,9
MANHATTAN,34 Gramercy Park East,10003,1,4/13/22,N,N,N,N,N,N,N,N,,40.737418,-73.985313,6,2,50
MANHATTAN,3 Times Square,10036,1,6/6/23,N,N,N,N,N,N,N,N,,40.756376,-73.986713,5,3,119
BROOKLYN,2945 West 23 Street,11224,1,4/24/24,N,N,N,N,N,N,N,N,,40.575103,-73.989885,13,47,326
MANHATTAN,265 West 37th Street,10018,1,3/27/21,N,N,N,N,N,N,N,N,,40.753629,-73.990959,5,3,109
MANHATTAN,1133 PARK AVENUE,10128,1,8/11/21,N,N,N,N,N,N,N,N,,40.783151,-73.954636,8,4,14802
MANHATTAN,200 5th ave,10010,3,10/22/24,N,N,N,N,N,N,N,N,,40.741865,-73.989365,5,3,58
MANHATTAN,303 East 57 St,10022,1,8/11/21,N,N,N,N,N,N,N,N,,40.75922,-73.965059,6,5,108
MANHATTAN,19 UNION SQUARE WEST,10003,1,6/12/20,N,N,N,N,N,N,N,N,Y,40.736065,-73.991098,5,2,52
MANHATTAN,525 Lexington Avenue,10017,2,11/11/24,N,N,N,N,N,N,N,N,,40.755685,-73.972943,6,4,92
MANHATTAN,319 EAST   50 STREET,10022,1,6/23/20,N,N,N,N,N,N,N,N,Y,40.754605,-73.967858,6,4,98
MANHATTAN,108 EAST   81 STREET,10028,1,7/13/20,N,N,N,N,N,N,N,N,Y,40.776691,-73.95894,8,4,140
MANHATTAN,66 Fifth Avenue,10011,1,4/8/20,N,N,N,N,N,N,N,N,,40.735044,-73.994328,2,3,63
BRONX,1000 Grand Concourse,10451,1,8/23/23,N,N,N,N,N,N,N,N,,40.82979,-73.921074,4,16,18301
MANHATTAN,370 PARK AVENUE,10022,1,9/1/21,N,N,N,N,N,N,N,N,,40.758805,-73.972812,5,4,102
MANHATTAN,625 Broadway,10012,1,8/3/23,N,N,N,N,N,N,N,N,,40.726014,-73.996291,2,1,5501
MANHATTAN,107 West 86th Street,10024,1,4/24/24,N,N,N,N,N,N,N,N,,40.786626,-73.972483,7,6,173
MANHATTAN,21 EAST 79 STREET,10075,1,8/29/24,N,N,N,N,N,N,N,N,,40.77661,-73.962782,8,4,142
MANHATTAN,15 EAST   57 STREET,10022,1,6/13/20,N,N,N,N,N,N,N,N,Y,40.762676,-73.973262,5,4,11202
MANHATTAN,245 FIFTH AVENUE,10016,1,12/19/21,N,N,N,N,N,N,N,N,,40.744478,-73.987434,5,2,56
MANHATTAN,201 Park Avenue South,10003,1,4/4/24,N,N,N,N,N,N,N,N,,40.736644,-73.988944,5,2,50
MANHATTAN,485 Lexington Avenue,10017,2,11/20/22,N,N,N,N,N,N,N,N,,40.754244,-73.973994,6,4,92
MANHATTAN,919 THIRD AVENUE,10022,1,10/29/22,N,N,N,N,N,N,N,N,,40.759136,-73.968333,6,4,108
MANHATTAN,536 West 46th Street,10036,1,12/31/24,N,N,N,N,N,N,N,N,,40.76278,-73.995055,4,3,129
MANHATTAN,6 West 18th Street,10011,1,11/10/21,N,N,N,N,N,N,N,N,,40.738741,-73.992379,5,3,54
MANHATTAN,440 WEST 24 STREET,10011,1,10/7/21,N,N,N,N,N,N,N,N,,40.747668,-74.00209,4,3,93
MANHATTAN,1220 Fifth Avenue,10029,1,5/5/21,N,N,A,A,N,N,N,N,,40.792438,-73.952448,11,8,168
MANHATTAN,100 Fifth Avenue,10011,2,3/19/25,N,N,N,N,N,N,N,N,,40.736881,-73.992992,5,3,54
BROOKLYN,2 HANSON PLACE,11217,1,3/23/23,N,N,N,N,N,N,N,N,,40.685093,-73.977728,2,35,35
MANHATTAN,1230 AVENUE OF THE AMERICAS,10020,2,6/2/20,N,N,N,N,N,N,N,N,,40.758977,-73.981089,5,4,96
BROOKLYN,300 Jay Street,11201,2,1/3/25,N,N,N,N,N,N,N,N,,40.695547,-73.98714,2,33,13
MANHATTAN,321 WEST 78 STREET,10024,1,9/21/23,N,N,N,N,N,N,N,N,,40.783828,-73.982035,7,6,167
MANHATTAN,37 west 37th street,10018,1,8/21/21,N,N,N,N,N,N,N,N,,40.750903,-73.98448,5,4,84
MANHATTAN,17 West 54th Street,10019,1,6/27/23,N,N,N,N,N,N,N,N,,40.761405,-73.976222,5,4,104
MANHATTAN,112 West 72nd Street,10023,1,6/11/24,N,N,N,N,N,N,N,N,,40.777581,-73.979213,7,6,157
MANHATTAN,127 West 96th Street,10025,1,7/26/22,N,N,N,N,N,N,N,N,,40.793267,-73.968475,7,7,181
MANHATTAN,1133 Fifth Ave,10128,1,8/24/22,N,N,N,N,N,N,N,N,,40.786909,-73.956478,8,4,16001
MANHATTAN,20 Hudson Yards,10001,1,7/17/20,N,N,N,N,N,N,N,N,Y,40.753045,-74.000282,4,3,99
MANHATTAN,10 BARCLAY ST,10007,1,11/20/24,N,N,N,N,N,N,N,N,,40.7122,-74.008563,1,1,21
MANHATTAN,1585 BROADWAY,10036,4,5/7/20,N,N,N,N,N,N,N,N,Y,40.760216,-73.985334,5,3,125
MANHATTAN,237 East 34th Street,10016,2,12/11/24,N,N,N,N,N,N,N,N,,40.745228,-73.976921,6,2,78
MANHATTAN,17 West 64th Street,10023,1,10/26/22,N,N,N,N,N,N,N,N,,40.771427,-73.980284,7,6,149
MANHATTAN,504 EAST 63 STREET,10065,1,11/20/23,N,N,N,N,N,N,N,N,,40.761104,-73.957726,8,5,10602
MANHATTAN,320 West 76th Street,10023,1,6/30/21,N,N,N,N,N,N,N,N,,40.782796,-73.983552,7,6,163
MANHATTAN,666 5 AVENUE,10103,1,4/28/20,N,N,N,N,N,N,N,N,Y,40.760549,-73.976421,5,4,104
MANHATTAN,119 WEST 24 STREET,10011,1,7/27/24,N,N,N,N,N,N,N,N,,40.74391,-73.993104,4,3,91
QUEENS,163-18 Jamaica Avenue,11432,1,11/27/23,N,N,N,N,N,N,N,N,,40.704799,-73.796524,12,27,44601
