BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
MANHATTAN,200-220 West 26th Street,10001,1,6/14/24,N,N,N,N,N,N,N,N,,40.746177,-73.994691,4,3,91
MANHATTAN,433 West 34 Street,10001,1,12/28/23,N,N,N,N,N,N,N,N,,40.753991,-73.997726,4,3,111
MANHATTAN,5 WEST 37 STREET,10018,1,8/28/21,N,N,N,N,N,N,N,N,,40.750592,-73.983744,5,4,84
MANHATTAN,36 West 47th Street,10036,1,11/9/24,N,N,N,N,N,N,N,N,,40.757193,-73.979855,5,4,96
MANHATTAN,14 EAST 38 STREET,10016,1,9/12/22,N,N,N,N,N,N,N,N,,40.750534,-73.981741,5,4,82
MANHATTAN,1235 Park Avenue,10128,1,9/13/22,N,N,N,N,N,N,N,N,,40.786337,-73.952694,8,4,15801
MANHATTAN,501 Tenth Avenue,10018,1,3/9/24,N,N,N,N,N,N,N,N,,40.75728,-73.997199,4,3,117
MANHATTAN,12 West 27 Street,10001,1,6/28/20,N,N,N,N,N,N,N,N,,40.744673,-73.989224,5,3,58
MANHATTAN,4 East 72nd Street,10021,1,7/7/21,N,N,A,N,N,N,N,N,,40.772311,-73.966702,8,4,130
MANHATTAN,595 Madison Avenue,10022,3,10/23/21,N,N,N,N,N,N,N,N,,40.762384,-73.97228,5,4,11202
MANHATTAN,168 East 74th Street,10021,1,8/18/22,N,N,N,N,N,N,N,N,,40.771419,-73.96051,8,4,128
MANHATTAN,101 West 79th Street,10024,1,10/6/20,N,N,N,N,N,N,N,N,,40.782139,-73.975904,7,6,165
MANHATTAN,1150 Fifth Avenue,10128,1,8/27/24,N,N,N,N,N,N,N,N,,40.787889,-73.955329,11,4,16002
BRONX,945 UNDERHILL AVENUE,10473,2,12/8/20,N,N,N,N,N,N,N,N,Y,40.824628,-73.860866,9,18,42
BRONX,5900 Arlington Avenue,10471,1,8/1/24,N,N,N,N,N,N,N,N,,40.908632,-73.906499,8,11,323
MANHATTAN,318 WEST 39 STREET,10018,1,11/16/24,N,N,N,N,N,N,N,N,,40.755657,-73.991976,4,3,115
BRONX,665 East 181st Street,10457,1,5/5/23,N,N,N,N,N,N,N,N,,40.849356,-73.88899,6,15,373
BROOKLYN,68 MONTAGUE STREET,11201,1,8/6/20,N,N,N,N,N,N,N,N,Y,40.695416,-73.996589,2,33,301
MANHATTAN,770 Broadway,10003,1,11/6/20,N,N,N,N,N,N,N,N,,40.730842,-73.991402,2,2,57
MANHATTAN,303 West 46 Street,10036,1,9/23/22,N,N,N,N,N,N,N,N,,40.759996,-73.988388,4,3,127
BRONX,1551 Unionport Road,10462,1,6/5/23,N,N,N,N,N,N,N,N,,40.836926,-73.857433,9,18,212
MANHATTAN,784 Park Avenue,10021,1,8/21/23,N,N,N,N,N,N,N,N,,40.772496,-73.963311,8,4,130
MANHATTAN,440 WEST 24 STREET,10011,1,10/8/20,N,N,N,N,N,N,N,N,,40.747668,-74.00209,4,3,93
MANHATTAN,225 Liberty Street,10280,1,4/27/24,N,N,N,N,N,N,N,N,,40.711537,-74.015673,1,1,31703
BROOKLYN,195 WILLOUGHBY AVENUE,11205,1,10/21/20,N,N,N,N,N,N,N,N,Y,40.692048,-73.964181,2,35,193
MANHATTAN,300 WEST   49 STREET,10019,1,6/17/20,N,N,N,N,N,N,N,N,Y,40.761805,-73.986925,4,3,127
MANHATTAN,100 East 53rd Street,10022,2,3/2/22,N,N,N,N,N,N,N,N,,40.758816,-73.972061,5,4,100
MANHATTAN,235 WEST 48 STREET,10036,1,11/10/21,N,N,N,N,N,N,N,N,,40.760476,-73.985666,5,3,125
MANHATTAN,935 PARK AVENUE,10028,1,11/17/20,N,N,N,N,N,N,N,N,Y,40.776801,-73.959648,8,4,140
